DEPT,GR2mEspaciam
323.2404,78.371437073
323.3928,78.371437073
323.5452,78.371437073
323.6976,78.371437073
323.85,78.371437073
324.0024,78.371437073
324.1548,78.371437073
324.3072,78.371437073
324.4596,78.371437073
324.612,78.371437073
324.7644,78.371437073
324.9168,78.371437073
325.0692,78.371437073
325.2216,78.371437073
325.374,78.371437073
325.5264,79.082870483
325.6788,79.082870483
325.8312,79.082870483
325.9836,79.082870483
326.136,79.082870483
326.2884,79.082870483
326.4408,79.082870483
326.5932,79.082870483
326.7456,79.082870483
326.898,79.082870483
327.0504,79.082870483
327.2028,79.082870483
327.3552,79.082870483
327.5076,79.082870483
327.66,79.082870483
327.8124,79.082870483
327.9648,79.082870483
328.1172,80.715545654
328.2696,80.715545654
328.422,80.715545654
328.5744,80.715545654
328.7268,80.715545654
328.8792,80.715545654
329.0316,80.715545654
329.184,80.715545654
329.3364,80.715545654
329.4888,80.715545654
329.6412,80.715545654
329.7936,80.715545654
329.946,80.715545654
330.0984,80.715545654
330.2508,80.126914978
330.4032,80.126914978
330.5556,80.126914978
330.708,80.126914978
330.8604,80.126914978
331.0128,80.126914978
331.1652,80.126914978
331.3176,80.126914978
331.47,80.126914978
331.6224,80.126914978
331.7748,80.126914978
331.9272,80.126914978
332.0796,80.126914978
332.232,80.126914978
332.3844,80.126914978
332.5368,80.126914978
332.6892,80.126914978
332.8416,80.126914978
332.994,80.126914978
333.1464,80.126914978
333.2988,80.126914978
333.4512,80.126914978
333.6036,80.126914978
333.756,80.126914978
333.9084,82.398284912
334.0608,82.398284912
334.2132,82.398284912
334.3656,82.398284912
334.518,82.398284912
334.6704,82.398284912
334.8228,82.398284912
334.9752,82.398284912
335.1276,82.398284912
335.28,82.398284912
335.4324,82.398284912
335.5848,82.398284912
335.7372,82.398284912
335.8896,82.398284912
336.042,82.769477844
336.1944,82.769477844
336.3468,82.769477844
336.4992,82.769477844
336.6516,82.769477844
336.804,82.769477844
336.9564,82.769477844
337.1088,82.769477844
337.2612,82.769477844
337.4136,82.769477844
337.566,82.769477844
337.7184,82.769477844
337.8708,82.769477844
338.0232,82.769477844
338.1756,82.769477844
338.328,82.769477844
338.4804,82.769477844
338.6328,82.769477844
338.7852,86.815826416
338.9376,86.815826416
339.09,86.815826416
339.2424,86.815826416
339.3948,86.815826416
339.5472,86.815826416
339.6996,86.815826416
339.852,86.815826416
