DEPT,GR,RES_DEP
306.324,80.709098816,1.1183999777
306.4764,80.951400757,2.4412853718
306.6288,81.328399658,2.4412853718
306.7812,81.420799255,2.4412853718
306.9336,78.651397705,2.4412853718
307.086,75.674797058,2.4412853718
307.2384,78.144500732,2.6054997444
307.3908,79.915000916,2.6054997444
307.5432,80.336997986,2.6054997444
307.6956,84.454902649,2.6054997444
307.848,85.958198547,2.6054997444
308.0004,82.257400513,2.6639199257
308.1528,79.852600098,2.722340107
308.3052,79.508003235,2.7807602882
308.4576,75.912002563,2.8742852211
308.61,72.850502014,2.9678099155
308.7624,75.452598572,2.5827999115
308.9148,80.709098816,2.639300108
309.0672,84.347503662,2.5360999107
309.2196,84.564796448,2.2065000534
309.372,83.523498535,2.2404999733
309.5244,81.291000366,2.2353000641
309.6768,77.974700928,2.3870999813
309.8292,78.097099304,2.3986999989
309.9816,81.23349762,2.4519999027
310.134,82.206596375,2.6428999901
310.2864,81.54650116,2.706799984
310.4388,82.314002991,2.4247999191
310.5912,82.209899902,1.9996000528
310.7436,80.062400818,1.9249000549
310.896,79.852600098,2.1001000404
311.0484,83.033996582,2.3229000568
311.2008,85.739196777,2.0199000835
311.3532,82.916099548,1.6998000145
311.5056,79.851799011,1.4357999563
311.658,80.527297974,1.3651000261
311.8104,80.92389679,1.4954999685
311.9628,82.607002258,1.7463999987
312.1152,85.828399658,2.2667000294
312.2676,85.913299561,2.5650999546
312.42,81.97769928,2.0773000717
312.5724,79.592903137,1.4934999943
312.7248,78.67389679,1.4546999931
312.8772,77.098197937,1.6856000423
313.0296,79.672798157,1.9057999849
313.182,85.17880249,2.9091999531
313.3344,85.570899963,3.0803999901
313.4868,82.013198853,1.7417999506
313.6392,80.164100647,1.6832000017
313.7916,79.9477005,1.7189999819
313.944,80.950202942,1.7201999426
314.0964,82.404296875,1.817999959
314.2488,82.277099609,1.8971999884
314.4012,80.091697693,1.8949999809
314.5536,79.499298096,1.8833999634
314.706,81.985801697,1.8171000481
314.8584,83.14440155,1.8715000153
315.0108,81.217597961,1.7058999538
315.1632,79.716201782,1.6782000065
315.3156,80.468399048,1.6899000406
315.468,81.07559967,1.5773999691
315.6204,80.756896973,1.6979000568
315.7728,81.978599548,0.8267999887
315.9252,84.954299927,1.5827000141
316.0776,84.355003357,1.0975999832
316.23,82.057601929,0.9172000289
316.3824,81.067298889,0.8934000134
316.5348,79.208000183,0.7738999724
316.6872,78.470199585,0.6947000027
316.8396,78.861198425,0.6355999708
316.992,79.830101013,0.6288999915
317.1444,79.690299988,0.6485000253
317.2968,79.130897522,0.6945999861
317.4492,79.50050354,0.6855000257
317.6016,79.008102417,0.5151000023
317.754,79.416702271,0.5024999976
317.9064,79.61530304,0.6065000296
318.0588,77.774497986,0.6779999733
318.2112,78.347801208,0.655099988
318.3636,79.400497437,0.4912999868
318.516,78.941596985,0.6488999724
318.6684,80.857498169,0.6915000081
318.8208,80.90940094,0.7857999802
318.9732,80.544296265,0.8420000076
319.1256,82.679397583,0.9222999811
319.278,83.226303101,2.0213999748
319.4304,85.743499756,4.7226996422
319.5828,87.149398804,1.6066000462
319.7352,82.246002197,1.3645999432
319.8876,80.434196472,1.2213000059
320.04,83.486801147,1.2894999981
320.1924,83.781402588,1.7233999968
320.3448,82.247398376,3.0065000057
320.4972,81.577102661,1.6643999815
320.6496,80.943901062,0.9782999754
320.802,79.343200684,0.9121000171
320.9544,79.820098877,0.7735000253
321.1068,83.021499634,0.7087000012
321.2592,83.643302917,0.632700026
321.4116,81.892799377,0.5978999734
321.564,78.079597473,0.5853999853
321.7164,76.45639801,0.6114000082
321.8688,80.047401428,0.6967999935
322.0212,81.036300659,0.8011999726
322.1736,77.402900696,0.9463000298
322.326,75.102897644,0.9656999707
322.4784,76.536300659,0.935199976
322.6308,78.988601685,0.877399981
322.7832,79.930000305,0.8072999716
322.9356,78.49659729,0.7754999995
323.088,77.696502686,0.7566000223
323.2404,79.104896545,0.7297000289
323.3928,79.944000244,0.7095999718
323.5452,80.453399658,0.7355999947
323.6976,79.991897583,0.8019000292
323.85,77.314903259,0.8414999843
324.0024,75.135398865,0.8464000225
324.1548,74.208999634,0.8417000175
324.3072,75.749702454,0.8252000213
324.4596,77.610099792,0.780099988
324.612,74.785797119,0.7900000215
324.7644,73.796897888,0.7799000144
324.9168,76.823501587,0.8245000243
325.0692,78.906196594,0.8924999833
325.2216,80.776603699,0.9524000287
325.374,78.296798706,0.9735000134
325.5264,73.564697266,0.9495999813
325.6788,75.757202148,1.0195000172
325.8312,81.343399048,1.1399999857
325.9836,83.648300171,1.1452000141
326.136,82.522102356,1.1167999506
326.2884,81.396400452,1.1019999981
326.4408,80.560302734,1.0585999489
326.5932,78.299797058,1.0508999825
326.7456,77.992202759,1.0884000063
326.898,77.118202209,1.1684999466
327.0504,76.284103394,1.2252999544
327.2028,79.01599884,1.2293000221
327.3552,79.006797791,1.1643999815
327.5076,76.89389801,1.1100000143
327.66,76.722702026,1.0781999826
327.8124,77.492500305,1.0602999926
327.9648,78.796699524,1.1023999453
328.1172,80.789001465,1.1145000458
328.2696,83.770698547,1.1854000092
328.422,84.752601624,1.2267999649
328.5744,81.339401245,1.1913000345
328.7268,78.309799194,1.1861000061
328.8792,80.63420105,1.1655000448
329.0316,85.39389801,1.1801999807
329.184,87.466499329,1.1865999699
329.3364,86.442703247,1.152099967
329.4888,82.816802979,1.1331000328
329.6412,77.922302246,1.1467000246
329.7936,75.794700623,1.1236000061
329.946,76.636199951,1.1518000364
330.0984,76.815200806,1.1683000326
330.2508,78.330101013,1.1524000168
330.4032,82.316497803,1.132799983
330.5556,83.93699646,1.1776000261
330.708,82.829696655,1.1768000126
330.8604,79.831596375,1.1740000248
331.0128,77.359397888,1.1728999615
331.1652,79.133399963,1.1619999409
331.3176,80.081802368,1.1598000526
331.47,78.871200562,1.1281000376
331.6224,79.914001465,1.1053999662
331.7748,81.129898071,1.1323000193
331.9272,79.343200684,1.1217999458
332.0796,78.064598083,1.1298999786
332.232,80.302101135,1.1509000063
332.3844,82.298599243,1.1618000269
332.5368,82.457199097,1.0953999758
332.6892,80.918899536,1.1190999746
332.8416,77.672599792,1.1432000399
332.994,76.174201965,1.1215000153
333.1464,76.374000549,1.1326999664
333.2988,76.064399719,1.1270999908
333.4512,77.872299194,1.1225999594
333.6036,80.689201355,1.1179000139
333.756,81.658096313,1.111700058
333.9084,82.427200317,1.1008000374
334.0608,84.629699707,1.1181999445
334.2132,84.404998779,1.1248999834
334.3656,81.343399048,1.1311999559
334.518,81.987701416,1.1311000586
334.6704,84.155296326,1.1312999725
334.8228,84.774597168,1.1302000284
334.9752,84.984298706,1.1409000158
335.1276,84.025398254,1.144299984
335.28,85.094200134,1.1440999508
335.4324,87.731201172,1.1340999603
335.5848,86.312797546,1.1547000408
335.7372,83.695800781,1.1675000191
335.8896,80.754096985,1.1850999594
336.042,77.432800293,1.1927000284
336.1944,78.466697693,1.2282999754
336.3468,80.953903198,1.1940000057
336.4992,81.258499146,1.2286000252
336.6516,80.454399109,1.2031999826
