DEPT,GR50m_Espaciam
337.4136,80.272605896
337.566,80.272605896
337.7184,80.272605896
337.8708,80.272605896
338.0232,80.272605896
338.1756,80.272605896
338.328,80.272605896
338.4804,80.272605896
338.6328,85.423858643
338.7852,85.423858643
338.9376,85.423858643
339.09,85.423858643
339.2424,85.423858643
339.3948,85.423858643
339.5472,85.423858643
339.6996,85.423858643
339.852,85.423858643
340.0044,85.423858643
340.1568,85.423858643
340.3092,85.423858643
340.4616,85.423858643
340.614,85.423858643
340.7664,85.423858643
340.9188,85.423858643
341.0712,85.423858643
341.2236,85.423858643
341.376,85.423858643
341.5284,85.423858643
341.6808,85.423858643
341.8332,85.423858643
341.9856,85.423858643
342.138,85.423858643
342.2904,85.423858643
342.4428,85.423858643
342.5952,85.423858643
342.7476,85.423858643
342.9,85.423858643
343.0524,85.423858643
343.2048,85.423858643
343.3572,85.423858643
343.5096,85.423858643
343.662,85.423858643
343.8144,85.423858643
343.9668,85.423858643
344.1192,85.423858643
344.2716,85.423858643
344.424,85.423858643
344.5764,85.423858643
344.7288,85.423858643
344.8812,85.423858643
345.0336,85.423858643
345.186,85.423858643
345.3384,85.423858643
345.4908,85.423858643
345.6432,85.423858643
345.7956,85.423858643
345.948,85.423858643
346.1004,85.423858643
346.2528,85.423858643
346.4052,85.423858643
346.5576,85.423858643
346.71,85.423858643
346.8624,85.423858643
347.0148,85.423858643
347.1672,85.423858643
347.3196,85.423858643
347.472,85.423858643
347.6244,85.423858643
347.7768,85.423858643
347.9292,85.423858643
348.0816,85.423858643
348.234,85.423858643
348.3864,85.423858643
348.5388,85.423858643
348.6912,85.423858643
348.8436,85.423858643
348.996,85.423858643
349.1484,85.423858643
349.3008,85.423858643
349.4532,85.423858643
349.6056,85.423858643
349.758,85.423858643
349.9104,85.423858643
350.0628,85.423858643
350.2152,85.423858643
350.3676,85.423858643
350.52,85.423858643
350.6724,85.423858643
350.8248,85.423858643
350.9772,85.423858643
351.1296,85.423858643
351.282,85.423858643
351.4344,85.423858643
351.5868,85.423858643
351.7392,85.423858643
351.8916,85.423858643
352.044,85.423858643
352.1964,85.423858643
352.3488,85.423858643
352.5012,85.423858643
352.6536,85.423858643
352.806,85.423858643
352.9584,85.423858643
353.1108,85.423858643
353.2632,85.423858643
353.4156,85.423858643
353.568,85.423858643
353.7204,85.423858643
353.8728,85.423858643
354.0252,85.423858643
354.1776,85.423858643
354.33,85.423858643
354.4824,85.423858643
354.6348,85.423858643
354.7872,85.423858643
354.9396,85.423858643
355.092,85.423858643
355.2444,85.423858643
355.3968,85.423858643
355.5492,85.423858643
355.7016,85.423858643
355.854,85.423858643
356.0064,85.423858643
356.1588,85.423858643
356.3112,85.423858643
356.4636,85.423858643
356.616,85.423858643
356.7684,85.423858643
356.9208,85.423858643
357.0732,85.423858643
357.2256,85.423858643
357.378,85.423858643
357.5304,85.423858643
357.6828,85.423858643
357.8352,85.423858643
357.9876,85.423858643
358.14,85.423858643
358.2924,85.423858643
358.4448,85.423858643
358.5972,85.423858643
358.7496,85.423858643
358.902,85.423858643
359.0544,85.423858643
359.2068,85.423858643
359.3592,85.423858643
359.5116,85.423858643
359.664,85.423858643
359.8164,85.423858643
359.9688,85.423858643
360.1212,85.423858643
360.2736,85.423858643
360.426,85.423858643
360.5784,85.423858643
360.7308,85.423858643
360.8832,85.423858643
361.0356,85.423858643
361.188,85.423858643
361.3404,85.423858643
361.4928,85.423858643
361.6452,85.423858643
361.7976,85.423858643
361.95,85.423858643
362.1024,85.423858643
362.2548,85.423858643
362.4072,85.423858643
362.5596,85.423858643
362.712,85.423858643
362.8644,85.423858643
363.0168,85.423858643
363.1692,85.423858643
363.3216,85.423858643
363.474,85.423858643
363.6264,85.423858643
363.7788,85.423858643
363.9312,85.423858643
364.0836,85.423858643
364.236,85.423858643
364.3884,85.423858643
364.5408,85.423858643
364.6932,85.423858643
364.8456,85.423858643
364.998,85.423858643
